designation,ra,dec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,w1nm,w1m,w2nm,w2m,w3nm,w3m,w4nm,w4m,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
J101130.29+462004.9,152.8762371,46.3347057,16.696,0.123,8.8,9.257E-01,16.603,0.394,2.8,8.875E-01,12.154,null,1.5,9.855E-01,8.745,null,0.9,1.090E+00,4,12,0,12,0,12,0,12,null,null,null,null,null,null,null,518.922441,197.561629
J101229.26+463234.1,153.1219385,46.5428139,17.406,0.203,5.4,7.160E-01,16.501,null,1.4,1.037E+00,12.905,null,-0.7,1.112E+00,8.734,null,1.1,8.820E-01,0,14,1,14,0,14,0,14,null,null,null,null,null,null,null,519.282540,60.600573
J101057.89+462529.7,152.7412219,46.4249221,16.544,0.105,10.4,8.110E-01,16.248,null,1.7,8.905E-01,12.809,null,-0.3,9.147E-01,8.753,0.406,2.7,9.528E-01,5,12,0,12,0,12,0,12,null,null,null,null,null,null,null,519.738952,250.977317
J101057.38+462545.7,152.7390911,46.4293667,14.336,0.031,34.9,7.932E-01,14.352,0.062,17.4,8.964E-01,12.804,null,-0.4,1.119E+00,8.647,null,1.2,1.028E+00,12,12,12,12,0,12,0,12,549055079,15.436,0.048,14.653,0.049,14.509,0.083,519.753063,252.835079
J101155.85+461951.0,152.9827197,46.3308378,17.246,0.176,6.2,1.158E+00,17.130,null,-0.1,8.966E-01,12.893,null,-0.6,8.889E-01,8.595,null,1.7,9.082E-01,1,14,0,14,0,14,0,14,null,null,null,null,null,null,null,520.054289,168.002215
J101058.90+463141.0,152.7454252,46.5280824,17.145,0.159,6.8,8.478E-01,16.608,0.346,3.1,9.527E-01,12.374,null,1.3,8.888E-01,9.318,null,0.0,9.673E-01,2,15,1,15,0,15,0,15,null,null,null,null,null,null,null,520.764831,292.816824
J101235.37+462710.2,153.1473791,46.4528370,16.617,0.100,10.8,7.877E-01,16.334,0.273,4.0,1.073E+00,12.248,null,1.8,8.826E-01,8.904,null,0.9,9.289E-01,5,15,0,15,0,15,0,15,null,null,null,null,null,null,null,520.826565,97.596042
J101121.20+462041.7,152.8383366,46.3449424,17.341,0.206,5.3,7.331E-01,16.819,null,0.5,9.996E-01,12.694,null,0.3,9.625E-01,8.505,null,1.7,1.190E+00,1,13,0,13,0,13,0,13,null,null,null,null,null,null,null,521.954620,208.709870
J101235.19+462648.3,153.1466502,46.4467630,16.964,0.138,7.9,7.895E-01,17.019,0.495,2.2,9.187E-01,12.371,null,1.3,1.017E+00,9.332,null,-0.4,1.040E+00,4,15,0,15,0,15,0,15,null,null,null,null,null,null,null,522.442232,99.999659
J101235.99+462824.0,153.1499783,46.4733411,16.567,0.111,9.8,8.625E-01,16.255,0.303,3.6,8.767E-01,12.788,null,-0.3,9.431E-01,9.158,null,0.0,9.840E-01,5,12,0,12,0,12,0,12,null,null,null,null,null,null,null,522.529632,89.453416
J101054.89+462751.2,152.7287470,46.4642276,16.073,0.069,15.7,9.600E-01,15.794,0.165,6.6,1.011E+00,12.876,null,-1.2,8.972E-01,9.021,null,0.4,1.020E+00,13,14,4,14,0,14,0,14,null,null,null,null,null,null,null,522.676574,266.948319
J101131.08+461957.1,152.8795232,46.3325279,15.439,0.047,23.2,9.562E-01,15.145,0.106,10.3,9.029E-01,11.147,0.122,8.9,1.044E+00,9.106,0.507,2.1,9.655E-01,12,12,7,13,5,12,0,13,549069716,17.210,0.215,16.710,0.258,15.557,0.205,524.038707,196.451905
J101133.85+463650.0,152.8910662,46.6138996,16.686,0.115,9.5,9.000E-01,16.556,null,1.1,9.320E-01,12.578,null,0.5,8.961E-01,9.169,null,-0.7,8.959E-01,4,13,0,13,0,13,0,13,null,null,null,null,null,null,null,524.049126,346.863285
J101235.17+463003.4,153.1465681,46.5009679,17.373,0.208,5.2,9.251E-01,17.108,null,-0.3,9.170E-01,12.835,null,-0.9,1.054E+00,8.953,null,0.6,8.524E-01,2,13,0,13,0,13,0,13,null,null,null,null,null,null,null,524.293218,78.512120
J101227.64+462327.8,153.1151950,46.3910779,16.227,0.074,14.6,9.084E-01,16.169,0.222,4.9,1.070E+00,12.621,0.393,2.8,9.688E-01,8.875,null,1.0,9.453E-01,12,16,2,16,0,16,0,16,null,null,null,null,null,null,null,525.170491,123.698099
J101228.25+462337.0,153.1177347,46.3936342,16.681,0.104,10.5,8.840E-01,16.783,null,0.9,9.489E-01,12.785,null,0.4,9.281E-01,9.195,null,0.3,9.464E-01,4,16,1,16,0,16,0,16,null,null,null,null,null,null,null,525.404556,122.481506
J101055.89+463022.2,152.7329160,46.5061695,16.813,0.120,9.1,8.168E-01,16.433,0.299,3.6,7.936E-01,12.912,null,-1.2,1.012E+00,9.348,null,0.0,1.009E+00,4,15,0,15,0,15,0,15,null,null,null,null,null,null,null,525.824779,283.543291
J101110.31+462157.7,152.7929631,46.3660379,17.421,0.207,5.2,8.198E-01,16.361,0.283,3.8,8.634E-01,12.894,null,-0.2,8.727E-01,9.294,null,-0.9,1.090E+00,0,14,0,14,0,14,0,14,null,null,null,null,null,null,null,526.967815,223.591778
J101233.96+463102.3,153.1415214,46.5173151,16.083,0.072,15.1,8.030E-01,16.608,0.369,2.9,9.363E-01,12.854,null,-0.4,9.246E-01,8.597,null,1.8,9.745E-01,12,13,0,13,0,13,0,13,null,null,null,null,null,null,null,527.049008,71.957835
J101143.82+463706.7,152.9326005,46.6185446,16.821,0.125,8.7,8.607E-01,15.968,0.205,5.3,8.687E-01,12.182,null,1.7,1.216E+00,9.152,null,-0.6,9.361E-01,2,13,0,13,0,13,0,13,null,null,null,null,null,null,null,527.276270,358.218435
J101154.60+461939.9,152.9775284,46.3277634,17.084,0.152,7.2,1.067E+00,16.533,null,1.4,1.046E+00,12.615,null,0.6,8.953E-01,9.113,null,0.4,8.144E-01,2,14,1,14,0,14,0,14,null,null,null,null,null,null,null,528.416169,169.620128
J101145.89+463708.3,152.9412486,46.6189822,17.040,0.151,7.2,7.539E-01,16.683,0.372,2.9,9.884E-01,12.481,null,0.8,9.467E-01,9.248,null,-0.6,1.036E+00,2,13,0,13,0,13,0,13,null,null,null,null,null,null,null,528.619701,0.541002
J101147.69+463708.5,152.9487160,46.6190461,16.907,0.133,8.2,8.357E-01,17.097,0.524,2.1,8.104E-01,12.844,null,-1.1,9.291E-01,8.931,null,0.5,9.869E-01,2,14,0,14,0,13,0,14,null,null,null,null,null,null,null,529.347443,2.539625
J101058.22+462452.4,152.7425950,46.4145639,16.666,0.117,9.3,9.445E-01,16.733,0.434,2.5,7.858E-01,12.248,null,1.3,9.436E-01,8.816,null,0.8,1.086E+00,6,12,0,12,0,12,0,12,null,null,null,null,null,null,null,530.009730,247.045602
J101058.78+462439.3,152.7449293,46.4109192,15.928,0.065,16.6,1.006E+00,16.314,0.300,3.6,9.310E-01,12.473,null,0.7,8.169E-01,9.132,null,-0.5,1.283E+00,12,12,2,12,0,12,0,12,null,null,null,null,null,null,null,530.021333,245.495025
J101224.81+463359.7,153.1033998,46.5665905,16.178,0.077,14.2,8.810E-01,15.743,0.157,6.9,9.534E-01,12.861,null,0.1,9.255E-01,9.013,null,0.4,1.011E+00,10,14,1,14,0,14,0,14,null,null,null,null,null,null,null,530.074494,50.044753
J101136.75+463702.6,152.9031615,46.6174102,16.254,0.082,13.3,7.903E-01,16.037,0.221,4.9,1.001E+00,12.229,0.304,3.6,9.138E-01,9.051,0.462,2.3,1.051E+00,11,13,1,13,0,13,0,13,null,null,null,null,null,null,null,530.507942,350.321642
J101232.44+463153.8,153.1352001,46.5316250,14.708,0.034,31.7,9.104E-01,14.726,0.073,15.0,9.993E-01,12.630,null,0.4,1.013E+00,9.072,null,0.2,1.119E+00,13,13,9,13,0,13,0,13,549074868,15.020,0.041,14.859,0.055,14.788,0.095,530.718296,66.135900
J101216.50+462117.3,153.0687514,46.3548131,16.669,0.109,9.9,8.648E-01,17.117,null,-0.6,8.646E-01,12.937,null,-1.3,1.183E+00,8.786,null,1.3,1.102E+00,5,15,0,15,0,15,0,15,null,null,null,null,null,null,null,530.827883,142.680383
J101201.47+461955.5,153.0061387,46.3320983,7.710,0.024,44.8,7.277E-01,7.832,0.020,54.7,8.146E-01,7.729,0.018,60.0,1.011E+00,7.734,0.147,7.4,9.266E-01,13,13,13,13,13,13,1,13,549075161,8.451,0.019,7.925,0.023,7.803,0.023,530.842385,161.741403
J101226.22+463343.1,153.1092846,46.5619930,16.816,0.122,8.9,8.019E-01,16.304,0.254,4.3,7.551E-01,12.642,null,0.4,9.957E-01,9.240,null,-0.2,9.349E-01,2,14,0,14,0,14,0,14,null,null,null,null,null,null,null,531.115077,52.423063
J101236.82+462811.6,153.1534342,46.4699032,15.656,0.057,19.1,9.173E-01,16.116,0.268,4.1,8.712E-01,12.812,null,-0.8,9.214E-01,9.258,null,-3.0,1.077E+00,13,13,1,12,0,12,0,13,null,null,null,null,null,null,null,531.158673,90.794880
J101231.48+462423.5,153.1311898,46.4065498,17.436,0.203,5.4,8.692E-01,16.415,null,1.8,8.850E-01,12.520,null,0.8,1.053E+00,9.104,null,0.3,8.345E-01,1,15,1,15,0,15,0,15,null,null,null,null,null,null,null,531.562487,116.307482
J101221.61+462202.2,153.0900555,46.3672953,16.380,0.081,13.4,8.655E-01,16.582,null,1.5,1.050E+00,12.362,null,1.6,8.653E-01,9.203,null,0.4,9.421E-01,12,17,0,17,0,17,0,17,null,null,null,null,null,null,null,531.597199,135.186816
J101219.35+462140.3,153.0806295,46.3612073,16.496,0.093,11.7,9.135E-01,16.715,0.391,2.8,9.255E-01,12.928,null,-0.9,1.041E+00,8.784,null,1.1,9.991E-01,9,15,0,15,0,15,0,15,null,null,null,null,null,null,null,531.667983,138.643958
J101150.03+461929.9,152.9584654,46.3249963,15.585,0.051,21.3,8.809E-01,15.485,0.131,8.3,1.246E+00,12.428,0.367,3.0,9.654E-01,9.253,null,0.2,9.974E-01,14,14,1,14,0,14,0,14,null,null,null,null,null,null,null,531.901316,174.841918
J101105.49+463356.8,152.7728966,46.5657957,17.125,0.148,7.4,8.724E-01,16.127,0.213,5.1,1.020E+00,12.961,null,-0.3,9.376E-01,9.008,null,0.8,9.825E-01,4,16,2,16,0,16,0,16,null,null,null,null,null,null,null,532.383569,309.349597
J101102.12+462330.8,152.7588632,46.3918912,15.269,0.044,24.6,1.101E+00,15.024,0.097,11.2,9.785E-01,12.070,0.269,4.0,1.027E+00,9.162,null,0.1,9.594E-01,13,13,7,13,0,13,0,13,null,null,null,null,null,null,null,532.687937,237.217998
J101230.27+463243.3,153.1261258,46.5453878,16.864,0.125,8.7,7.759E-01,16.637,0.352,3.1,9.663E-01,12.684,null,0.4,9.508E-01,9.215,null,-0.6,9.548E-01,3,14,0,14,0,14,0,14,null,null,null,null,null,null,null,532.865524,60.276397
J101146.37+461925.7,152.9432447,46.3238194,16.943,0.134,8.1,8.488E-01,16.455,0.317,3.4,1.001E+00,12.357,null,1.3,8.537E-01,9.053,null,0.5,1.108E+00,3,14,1,14,0,14,0,14,null,null,null,null,null,null,null,534.083027,178.929195
J101059.66+462410.5,152.7485979,46.4029241,15.381,0.046,23.6,1.007E+00,15.307,0.119,9.1,8.765E-01,12.616,null,0.5,1.024E+00,9.182,null,-0.8,9.363E-01,13,13,4,13,0,13,0,13,null,null,null,null,null,null,null,534.586120,242.282506
J101053.81+462724.8,152.7242480,46.4569120,16.815,0.128,8.5,7.973E-01,16.407,0.298,3.6,1.066E+00,12.135,null,1.7,8.973E-01,9.094,null,0.3,9.938E-01,3,13,1,13,0,13,0,13,null,null,null,null,null,null,null,535.904090,264.202671
J101154.43+463707.7,152.9768318,46.6188069,15.720,0.055,19.6,8.407E-01,15.728,0.157,6.9,1.041E+00,12.903,null,-0.9,9.330E-01,9.063,null,0.3,9.972E-01,14,14,2,14,0,14,0,14,549070176,16.803,0.169,16.089,0.152,15.432,null,536.111045,9.987168
J101225.78+463357.0,153.1074486,46.5658445,17.251,0.177,6.1,9.103E-01,16.471,0.293,3.7,9.307E-01,12.874,null,0.0,1.035E+00,8.831,null,1.0,1.047E+00,1,14,0,14,0,14,0,14,null,null,null,null,null,null,null,536.116358,50.951222
J101100.05+462358.9,152.7502483,46.3997185,16.461,0.094,11.5,9.544E-01,15.720,0.172,6.3,8.364E-01,12.386,null,1.1,1.010E+00,8.845,null,0.7,1.111E+00,9,13,4,13,0,13,0,13,null,null,null,null,null,null,null,536.492460,240.988293
J101227.73+462307.6,153.1155474,46.3854588,17.445,0.194,5.6,7.861E-01,16.706,0.354,3.1,9.121E-01,12.803,null,0.3,1.071E+00,9.172,null,0.2,1.091E+00,2,16,1,16,0,16,1,16,null,null,null,null,null,null,null,537.405947,125.438078
J101216.06+462105.4,153.0669224,46.3515110,14.130,0.030,36.3,9.522E-01,14.235,0.050,21.6,9.600E-01,12.903,null,-0.1,1.065E+00,8.682,null,1.7,1.004E+00,14,14,14,14,0,14,1,14,549075136,14.616,0.030,14.267,0.039,14.319,0.069,537.652704,143.832472
J101236.50+463003.7,153.1521013,46.5010411,16.476,0.098,11.1,8.419E-01,17.009,0.504,2.2,9.511E-01,12.847,null,-0.9,1.068E+00,9.182,null,-0.1,9.246E-01,7,13,0,13,0,13,0,13,null,null,null,null,null,null,null,537.794503,78.771719
J101053.35+462832.5,152.7223182,46.4756966,16.694,0.112,9.7,8.973E-01,16.726,0.389,2.8,1.075E+00,12.381,null,1.2,1.086E+00,9.214,null,-0.3,1.034E+00,6,14,0,14,0,14,0,14,null,null,null,null,null,null,null,537.933106,271.438669
J101127.25+463644.1,152.8635543,46.6122742,16.342,0.087,12.5,9.420E-01,16.441,0.333,3.3,9.567E-01,12.857,null,-1.4,1.008E+00,9.215,null,-0.4,9.829E-01,9,13,2,13,0,13,0,13,null,null,null,null,null,null,null,538.126328,339.649181
J101107.69+463431.2,152.7820509,46.5753551,15.436,0.045,24.2,9.193E-01,15.289,0.106,10.2,8.497E-01,12.656,0.410,2.6,9.066E-01,8.808,null,1.1,1.010E+00,16,16,7,16,0,16,0,16,null,null,null,null,null,null,null,538.163317,313.717365
J101054.81+463029.3,152.7283777,46.5081389,16.891,0.128,8.4,8.602E-01,15.836,0.178,6.1,9.290E-01,12.353,0.316,3.4,8.858E-01,9.361,null,-2.0,1.022E+00,1,15,2,15,0,15,0,15,null,null,null,null,null,null,null,538.422993,284.000092
J101226.72+462251.5,153.1113363,46.3809818,16.812,0.113,9.6,9.427E-01,16.967,null,0.4,9.027E-01,12.307,null,1.7,9.059E-01,8.798,null,1.3,9.765E-01,5,16,0,16,0,16,0,16,null,null,null,null,null,null,null,538.615001,127.480211
J101053.27+462812.7,152.7219719,46.4702148,16.550,0.097,11.2,8.592E-01,16.380,0.279,3.9,9.343E-01,12.888,null,-0.9,1.057E+00,8.654,null,1.5,9.093E-01,9,14,1,14,0,14,0,14,null,null,null,null,null,null,null,538.712305,269.337781
J101236.44+462627.6,153.1518685,46.4410148,16.598,0.099,11.0,1.003E+00,16.649,null,1.2,1.057E+00,12.941,null,-0.4,9.418E-01,9.335,null,-1.9,9.739E-01,8,15,1,15,0,15,0,15,null,null,null,null,null,null,null,539.135177,101.922290
J101057.62+462443.3,152.7401200,46.4120456,15.884,0.063,17.1,9.269E-01,16.062,0.235,4.6,7.449E-01,12.311,0.352,3.1,9.129E-01,9.178,null,-0.5,1.116E+00,12,12,0,12,0,12,0,12,null,null,null,null,null,null,null,539.249452,246.415604
J101113.55+462112.7,152.8064711,46.3535369,17.213,0.178,6.1,7.583E-01,16.825,0.416,2.6,9.613E-01,12.609,null,0.6,9.321E-01,9.010,null,0.7,1.072E+00,1,14,0,14,0,14,0,14,null,null,null,null,null,null,null,539.364502,217.704816
J101143.27+461920.5,152.9303083,46.3223663,16.876,0.134,8.1,9.542E-01,16.919,0.489,2.2,8.558E-01,12.709,0.485,2.2,9.069E-01,8.789,null,1.1,1.045E+00,0,13,0,13,0,13,0,13,null,null,null,null,null,null,null,539.675934,182.355532
J101236.40+462613.7,153.1516698,46.4371429,16.891,0.124,8.7,8.887E-01,16.775,0.386,2.8,9.720E-01,12.251,null,1.7,1.040E+00,9.326,null,-1.3,9.079E-01,4,15,0,15,0,15,0,15,null,null,null,null,null,null,null,541.743463,103.374928
J101219.57+462128.6,153.0815675,46.3579700,16.268,0.076,14.3,8.713E-01,15.634,0.141,7.7,1.019E+00,12.100,0.240,4.5,9.000E-01,8.847,0.348,3.1,1.060E+00,11,16,2,16,1,16,0,16,null,null,null,null,null,null,null,541.998828,139.271127
J101221.60+462147.5,153.0900237,46.3632193,17.158,0.155,7.0,8.758E-01,16.841,null,0.7,9.958E-01,12.925,null,-0.5,8.238E-01,9.109,null,0.6,1.007E+00,2,16,0,16,0,16,0,16,null,null,null,null,null,null,null,542.070268,136.283840
J101145.54+463721.8,152.9397810,46.6227355,16.949,0.144,7.5,1.019E+00,16.566,null,1.4,9.531E-01,12.850,null,-0.7,1.059E+00,9.088,null,0.0,8.753E-01,1,13,1,13,0,13,0,13,null,null,null,null,null,null,null,542.109667,0.143986
J101213.26+462037.5,153.0552811,46.3437741,15.953,0.067,16.2,8.465E-01,15.615,0.154,7.0,1.015E+00,12.483,0.385,2.8,8.561E-01,8.974,null,0.4,9.179E-01,12,13,3,13,0,13,0,13,null,null,null,null,null,null,null,544.582280,148.021795
J101056.44+463142.9,152.7352040,46.5286097,15.896,0.059,18.5,8.715E-01,16.017,0.196,5.6,7.997E-01,12.484,null,1.2,1.014E+00,9.234,null,0.2,1.076E+00,15,16,0,16,0,16,0,16,549054936,16.622,0.126,15.971,0.123,16.153,null,544.914753,291.974918
J101128.45+463656.7,152.8685596,46.6157578,16.126,0.076,14.3,8.584E-01,16.043,0.240,4.5,9.144E-01,12.803,null,-2.2,7.951E-01,8.926,null,0.4,9.591E-01,10,12,2,12,0,12,0,12,549070172,16.904,0.177,16.578,0.232,15.841,0.264,545.798986,341.326218
J101059.93+463258.6,152.7497155,46.5496195,16.882,0.121,9.0,9.648E-01,16.393,0.273,4.0,1.037E+00,12.245,null,1.8,1.142E+00,8.672,null,1.7,1.003E+00,4,16,0,16,1,16,0,16,null,null,null,null,null,null,null,546.118047,300.777680
J101054.06+462610.0,152.7252879,46.4361161,16.266,0.082,13.2,8.323E-01,16.095,0.243,4.5,8.224E-01,12.635,null,0.4,1.132E+00,9.007,null,0.3,1.108E+00,10,13,0,13,0,13,0,13,null,null,null,null,null,null,null,546.238557,256.339561
J101156.06+463714.8,152.9835914,46.6208010,17.341,0.189,5.7,8.150E-01,15.826,0.168,6.5,7.915E-01,12.276,null,1.4,9.221E-01,8.651,null,1.4,9.894E-01,2,14,2,14,0,14,0,14,null,null,null,null,null,null,null,546.299360,11.582642
J101103.88+462241.6,152.7661760,46.3782487,15.691,0.055,19.7,1.001E+00,15.191,0.110,9.9,7.799E-01,12.644,0.449,2.4,8.076E-01,9.133,null,-1.7,8.061E-01,13,13,5,13,0,13,0,13,null,null,null,null,null,null,null,546.520376,231.853147
J101155.18+461922.5,152.9799526,46.3229281,17.258,0.184,5.9,8.362E-01,16.459,null,1.6,1.016E+00,12.540,null,0.6,9.947E-01,9.206,null,-2.3,8.166E-01,0,13,0,13,0,13,0,13,null,null,null,null,null,null,null,546.629996,169.326558
J101111.09+463516.7,152.7962180,46.5879722,14.308,0.030,35.7,8.850E-01,14.327,0.055,19.8,1.031E+00,12.734,null,0.4,9.498E-01,8.663,null,1.7,9.371E-01,15,15,14,15,0,15,1,15,549054843,15.378,0.049,14.731,0.053,14.524,0.076,547.094314,319.704674
J101203.59+463653.9,153.0149656,46.6149983,16.223,0.082,13.2,8.293E-01,16.269,0.263,4.1,9.439E-01,12.829,null,-2.1,8.930E-01,8.629,null,1.6,1.048E+00,9,13,1,13,0,13,0,13,null,null,null,null,null,null,null,547.379194,20.007441
J101149.36+463725.9,152.9556684,46.6238886,16.913,0.131,8.3,1.015E+00,16.408,null,1.9,7.668E-01,12.372,null,1.2,8.515E-01,9.341,null,-0.7,9.847E-01,2,14,0,14,0,14,0,14,null,null,null,null,null,null,null,547.773205,4.255046
J101126.50+463651.7,152.8604335,46.6143643,16.817,0.119,9.1,7.453E-01,16.523,null,1.2,1.008E+00,12.120,null,1.9,1.021E+00,9.186,null,-1.8,9.357E-01,3,14,0,13,0,13,0,14,null,null,null,null,null,null,null,547.888805,339.167137
J101058.52+462404.1,152.7438536,46.4011458,16.649,0.110,9.9,9.257E-01,16.358,null,1.6,8.467E-01,12.856,null,-2.0,9.339E-01,8.949,null,0.6,9.283E-01,3,13,0,13,0,13,0,13,null,null,null,null,null,null,null,547.990565,242.266143
J101217.23+463539.9,153.0718203,46.5944263,16.975,0.148,7.3,8.105E-01,16.579,0.340,3.2,8.428E-01,12.305,null,1.3,8.911E-01,8.541,null,1.6,9.240E-01,3,13,0,13,0,13,1,13,null,null,null,null,null,null,null,549.177909,36.673374
J101227.48+463356.5,153.1145308,46.5657058,16.546,0.100,10.8,8.598E-01,16.187,0.228,4.8,9.595E-01,12.157,null,1.9,1.017E+00,8.808,null,0.9,9.500E-01,5,14,3,14,0,14,0,14,null,null,null,null,null,null,null,549.558108,52.140033
J101215.23+462044.9,153.0634947,46.3458062,15.119,0.040,26.8,9.312E-01,15.073,0.093,11.7,9.483E-01,12.150,0.272,4.0,9.625E-01,8.813,null,1.1,9.591E-01,14,14,7,14,0,14,0,14,549075143,17.034,0.183,15.790,0.127,15.327,0.163,549.563656,145.811447
J101101.71+463334.5,152.7571472,46.5595845,15.327,0.042,25.9,9.231E-01,14.925,0.078,14.0,9.084E-01,11.356,0.124,8.7,1.100E+00,8.946,null,0.7,8.766E-01,17,17,13,17,4,17,0,17,null,null,null,null,null,null,null,550.047776,304.973212
J101132.95+463714.6,152.8873088,46.6207234,16.041,0.073,15.0,9.740E-01,15.422,0.135,8.1,9.429E-01,11.593,0.182,6.0,8.714E-01,8.619,null,1.5,1.055E+00,11,12,4,12,0,12,0,12,null,null,null,null,null,null,null,550.096553,346.504132
J101105.87+462210.2,152.7744734,46.3695037,15.814,0.063,17.3,8.071E-01,15.460,0.130,8.3,9.540E-01,12.814,null,-1.5,9.222E-01,9.231,null,-0.5,9.779E-01,11,13,4,13,0,13,0,13,null,null,null,null,null,null,null,551.114505,227.953448
J101230.11+462318.6,153.1254952,46.3885231,16.365,0.081,13.4,9.599E-01,16.255,0.247,4.4,9.619E-01,12.307,null,1.6,9.660E-01,9.063,null,0.6,1.100E+00,10,16,0,16,0,16,1,16,null,null,null,null,null,null,null,551.576556,123.012630
J101132.68+461923.2,152.8861729,46.3231242,16.408,0.094,11.6,1.026E+00,16.464,0.327,3.3,1.079E+00,12.843,null,-0.5,9.255E-01,9.181,null,-0.2,8.888E-01,5,13,1,13,0,13,0,13,null,null,null,null,null,null,null,552.427723,193.814338
J101103.03+462243.3,152.7626265,46.3787123,16.419,0.092,11.8,9.315E-01,16.138,0.255,4.3,8.490E-01,12.382,null,1.0,8.743E-01,9.245,null,-0.3,7.662E-01,8,13,1,13,0,13,0,13,null,null,null,null,null,null,null,552.448865,232.555376
J101234.18+462431.9,153.1424375,46.4088838,17.528,0.209,5.2,7.989E-01,17.081,0.499,2.2,8.837E-01,12.254,null,1.8,9.756E-01,9.300,null,-0.2,1.022E+00,1,16,0,16,0,16,0,16,null,null,null,null,null,null,null,553.177234,114.239749
J101103.00+463358.0,152.7625048,46.5661152,16.080,0.063,17.3,1.040E+00,15.905,0.173,6.3,8.853E-01,12.437,null,1.3,9.931E-01,9.038,0.396,2.7,8.646E-01,16,17,1,17,1,17,1,17,null,null,null,null,null,null,null,553.249323,307.757246
J101221.06+463513.1,153.0877810,46.5869767,16.355,0.090,12.1,9.985E-01,16.586,0.355,3.1,9.142E-01,12.842,null,-1.8,9.079E-01,9.255,null,-0.3,1.158E+00,10,13,0,13,0,13,0,13,null,null,null,null,null,null,null,553.394070,41.616420
J101217.38+462054.8,153.0724398,46.3485569,17.452,0.214,5.1,8.877E-01,16.522,0.319,3.4,9.131E-01,12.904,null,-1.5,9.717E-01,9.275,null,-0.7,9.150E-01,0,14,0,14,0,14,0,14,null,null,null,null,null,null,null,554.342167,143.334322
J101151.27+463731.0,152.9636311,46.6252901,15.209,0.042,25.6,9.244E-01,14.812,0.077,14.2,8.965E-01,11.081,0.105,10.3,1.006E+00,8.267,0.222,4.9,9.333E-01,14,14,9,14,6,14,1,14,549070186,16.892,0.164,16.390,0.209,15.732,0.232,554.604792,6.244836
J101100.08+463318.0,152.7503575,46.5550097,17.353,0.178,6.1,7.728E-01,16.910,0.427,2.5,9.652E-01,12.232,null,2.0,9.534E-01,8.879,null,1.0,9.414E-01,1,16,0,16,1,16,0,15,null,null,null,null,null,null,null,554.916336,302.585448
J101204.19+463700.8,153.0174857,46.6169084,15.988,0.068,15.9,1.035E+00,16.270,0.273,4.0,8.758E-01,12.411,null,1.0,1.156E+00,8.526,null,1.6,9.372E-01,13,13,0,13,0,13,0,13,null,null,null,null,null,null,null,555.987065,20.367561
J101118.42+462017.6,152.8267562,46.3382275,16.253,0.084,12.9,7.559E-01,15.479,0.130,8.4,7.479E-01,12.331,0.341,3.2,7.650E-01,8.492,null,1.3,8.943E-01,9,13,2,13,1,13,0,13,null,null,null,null,null,null,null,557.131409,210.116590
J101217.21+463550.1,153.0717444,46.5972504,16.507,0.102,10.7,8.550E-01,16.289,0.267,4.1,8.553E-01,12.847,null,-0.4,1.038E+00,8.929,null,0.6,9.678E-01,6,13,0,13,0,13,0,13,null,null,null,null,null,null,null,557.244490,36.032154
J101143.83+461901.3,152.9326507,46.3170301,16.806,0.122,8.9,8.292E-01,16.264,0.264,4.1,8.523E-01,12.038,0.259,4.2,1.064E+00,9.322,null,-0.5,9.831E-01,3,14,0,14,1,14,0,14,null,null,null,null,null,null,null,558.670371,181.677956
J101058.03+462350.8,152.7418152,46.3974549,16.083,0.071,15.4,8.653E-01,15.689,0.168,6.5,1.124E+00,12.469,0.385,2.8,9.041E-01,9.159,null,-0.1,9.891E-01,11,13,2,13,0,13,1,13,null,null,null,null,null,null,null,558.755318,241.304334
J101051.36+462756.8,152.7140363,46.4657946,16.015,0.066,16.4,8.292E-01,15.445,0.123,8.8,9.935E-01,12.864,0.531,2.0,8.624E-01,8.771,null,1.0,9.870E-01,14,14,4,14,0,14,1,14,null,null,null,null,null,null,null,558.833898,267.735212
J101229.65+462258.0,153.1235740,46.3827803,17.160,0.154,7.0,9.851E-01,17.077,0.499,2.2,7.403E-01,12.979,null,-0.4,8.665E-01,8.675,null,1.4,9.775E-01,2,16,0,16,0,16,0,16,null,null,null,null,null,null,null,559.241192,125.053767
J101238.25+462613.1,153.1594104,46.4369798,17.057,0.144,7.5,1.357E+00,16.385,0.271,4.0,1.021E+00,12.526,0.374,2.9,9.354E-01,9.328,null,-0.6,8.264E-01,2,15,0,15,0,15,0,15,null,null,null,null,null,null,null,560.565467,102.973997
J101051.25+462855.2,152.7135502,46.4820131,16.238,0.077,14.1,9.714E-01,15.857,0.178,6.1,8.578E-01,12.882,null,-0.8,8.967E-01,9.311,null,-0.8,9.905E-01,9,14,1,14,0,14,0,14,null,null,null,null,null,null,null,560.612840,273.713149
J101053.25+463056.7,152.7219087,46.5157505,14.817,0.035,30.9,9.357E-01,14.872,0.074,14.6,8.903E-01,12.701,null,0.6,8.487E-01,8.896,null,1.0,9.969E-01,16,16,11,16,0,16,0,16,549054950,15.656,0.054,14.902,0.051,14.840,0.105,561.003875,286.326301
